municipio,uf,estado,regiao,populacao,renda_media_mensal,pib_anual_mil_reais,pib_per_capita_reais
Municipio GO-011,GO,Goiás,Centro-Oeste,2501,1022.39,37094.78,14831.98
Municipio PI-065,PI,Piauí,Nordeste,3538,1262.4,78123.23,22081.18
Municipio PR-335,PR,Paraná,Sul,9232,1239.93,129020.14,13975.32
Municipio MG-650,MG,Minas Gerais,Sudeste,6456,1978.73,189022.43,29278.57
Municipio RS-187,RS,Rio Grande do Sul,Sul,12129,2496.68,497633.93,41028.44
Municipio SC-068,SC,Santa Catarina,Sul,6645,2268.12,204401.78,30760.24
Municipio BA-287,BA,Bahia,Nordeste,11575,1220.75,161235.07,13929.6
Municipio SP-210,SP,São Paulo,Sudeste,95585,2410.44,2532805.08,26497.93
Municipio SC-074,SC,Santa Catarina,Sul,11376,2516.32,474562.44,41716.11
Municipio MG-229,MG,Minas Gerais,Sudeste,5485,1335.65,103683.48,18903.1
Municipio MG-695,MG,Minas Gerais,Sudeste,15012,1782.24,500894.85,33366.3
Municipio MG-408,MG,Minas Gerais,Sudeste,13632,1696.3,416660.36,30564.87
Municipio RR-007,RR,Roraima,Norte,5809,1223.17,126824.47,21832.41
Municipio GO-049,GO,Goiás,Centro-Oeste,5767,1106.61,109569.14,18999.33
Municipio MG-068,MG,Minas Gerais,Sudeste,31274,2278.59,938148.79,29997.72
Municipio SP-555,SP,São Paulo,Sudeste,13954,1398.91,316225.71,22662.01
Municipio MT-136,MT,Mato Grosso,Centro-Oeste,9505,1478.32,171502.01,18043.35
Municipio BA-035,BA,Bahia,Nordeste,5408,618.53,38119.2,7048.67
Municipio GO-168,GO,Goiás,Centro-Oeste,27424,1606.78,744076.26,27132.3
Municipio SP-509,SP,São Paulo,Sudeste,21154,2070.97,609486.23,28811.87
Municipio BA-052,BA,Bahia,Nordeste,19115,940.41,310947.11,16267.18
Municipio PB-074,PB,Paraíba,Nordeste,12527,1187.69,259155.83,20687.78
Municipio MG-443,MG,Minas Gerais,Sudeste,1545,1747.2,42359.33,27417.04
Municipio BA-172,BA,Bahia,Nordeste,17803,610.98,166849.5,9371.99
Municipio SC-089,SC,Santa Catarina,Sul,780,1083.05,15015.44,19250.56
Municipio RS-085,RS,Rio Grande do Sul,Sul,13654,1525.3,304162.78,22276.46
Municipio SP-013,SP,São Paulo,Sudeste,102916,2365.52,4262957.62,41421.72
Municipio RS-259,RS,Rio Grande do Sul,Sul,20096,2205.21,782114.85,38918.93
Municipio MG-805,MG,Minas Gerais,Sudeste,3243,1695.98,67348.04,20767.2
Municipio MG-840,MG,Minas Gerais,Sudeste,22646,1138.88,429639.41,18971.98
Municipio PI-032,PI,Piauí,Nordeste,6304,942.81,72024.7,11425.24
Municipio MS-036,MS,Mato Grosso do Sul,Centro-Oeste,101765,2328.33,3299169.02,32419.49
Municipio PB-137,PB,Paraíba,Nordeste,34816,624.86,266714.23,7660.68
Municipio PR-001,PR,Paraná,Sul,130287,1047.65,1938195.75,14876.36
Municipio RS-375,RS,Rio Grande do Sul,Sul,40594,1431.92,828346.03,20405.63
Municipio MT-029,MT,Mato Grosso,Centro-Oeste,22059,1733.97,727440.92,32977.06
Municipio PR-125,PR,Paraná,Sul,4274,1626.2,107643.1,25185.56
Municipio RN-150,RN,Rio Grande do Norte,Nordeste,7204,647.95,63789.41,8854.72
Municipio PR-031,PR,Paraná,Sul,50957,1324.62,907985.34,17818.66
Municipio SP-379,SP,São Paulo,Sudeste,16736,1114.65,207896.66,12422.12
Municipio PR-387,PR,Paraná,Sul,8293,1933.74,228907.83,27602.54
Municipio PI-103,PI,Piauí,Nordeste,50626,1104.05,686408.23,13558.41
Municipio PI-166,PI,Piauí,Nordeste,30037,714.76,319361.33,10632.26
Municipio AP-014,AP,Amapá,Norte,6873,951.58,116213.51,16908.7
Municipio MG-028,MG,Minas Gerais,Sudeste,12952,2345.82,566177.4,43713.51
Municipio PR-378,PR,Paraná,Sul,82421,1817.81,2821634.5,34234.41
Municipio MG-375,MG,Minas Gerais,Sudeste,20183,1821.2,660302.95,32715.8
Municipio GO-188,GO,Goiás,Centro-Oeste,14237,2229.82,514286.31,36123.22
Municipio SE-035,SE,Sergipe,Nordeste,56910,570.82,372673.82,6548.48
Municipio PB-186,PB,Paraíba,Nordeste,27160,886.46,383060.31,14103.84
Municipio PI-105,PI,Piauí,Nordeste,11095,1032.38,142390.24,12833.73
Municipio AM-022,AM,Amazonas,Norte,6908,969.47,80266.53,11619.36
