municipio,uf,estado,regiao,populacao,renda_media_mensal,pib_anual_mil_reais,pib_per_capita_reais
Ribeirão Horizonte das Palmeiras,GO,Goiás,Centro-Oeste,2501,1022.39,37094.78,14831.98
Cruz Feliz do Oeste,PI,Piauí,Nordeste,3538,1262.4,78123.23,22081.18
Jaboti Dourado do Cerrado,PR,Paraná,Sul,9232,1239.93,129020.14,13975.32
Ipê Branco do Leste,MG,Minas Gerais,Sudeste,6456,1978.73,189022.43,29278.57
Barra Grande do Campo,RS,Rio Grande do Sul,Sul,12129,2496.68,497633.93,41028.44
Jaboti das Flores de Minas,SC,Santa Catarina,Sul,6645,2268.12,204401.78,30760.24
Vale do Norte das Palmeiras,BA,Bahia,Nordeste,11575,1220.75,161235.07,13929.6
Vila Verde do Leste,SP,São Paulo,Sudeste,95585,2410.44,2532805.08,26497.93
Barra Bonita de Minas,SC,Santa Catarina,Sul,11376,2516.32,474562.44,41716.11
Cachoeira Vitória das Palmeiras,MG,Minas Gerais,Sudeste,5485,1335.65,103683.48,18903.1
Aracê Novo do Oeste,MG,Minas Gerais,Sudeste,15012,1782.24,500894.85,33366.3
Ipê Branco das Palmeiras,MG,Minas Gerais,Sudeste,13632,1696.3,416660.36,30564.87
Lagoa Bonita Colonial,RR,Roraima,Norte,5809,1223.17,126824.47,21832.41
Pinheiro Aurora Menor,GO,Goiás,Centro-Oeste,5767,1106.61,109569.14,18999.33
Nova Novo Paulista,MG,Minas Gerais,Sudeste,31274,2278.59,938148.79,29997.72
Santo Branco de Minas,SP,São Paulo,Sudeste,13954,1398.91,316225.71,22662.01
Pinheiro Dourado Maior,MT,Mato Grosso,Centro-Oeste,9505,1478.32,171502.01,18043.35
Bela Preto das Palmeiras,BA,Bahia,Nordeste,5408,618.53,38119.2,7048.67
Boa Branco de Minas,GO,Goiás,Centro-Oeste,27424,1606.78,744076.26,27132.3
Serra Alegre de Minas,SP,São Paulo,Sudeste,21154,2070.97,609486.23,28811.87
Coração Verde de Minas,BA,Bahia,Nordeste,19115,940.41,310947.11,16267.18
Vale Dourado de Minas,PB,Paraíba,Nordeste,12527,1187.69,259155.83,20687.78
Cruz Verde Central,MG,Minas Gerais,Sudeste,1545,1747.2,42359.33,27417.04
Vale Grande do Oeste,BA,Bahia,Nordeste,17803,610.98,166849.5,9371.99
Santo Preto do Oeste,SC,Santa Catarina,Sul,780,1083.05,15015.44,19250.56
Aracê Vista Colonial,RS,Rio Grande do Sul,Sul,13654,1525.3,304162.78,22276.46
Porto Novo Menor,SP,São Paulo,Sudeste,102916,2365.52,4262957.62,41421.72
Campo Branco da Mata,RS,Rio Grande do Sul,Sul,20096,2205.21,782114.85,38918.93
Coração Bonita Paulista,MG,Minas Gerais,Sudeste,3243,1695.98,67348.04,20767.2
Vila União de Minas,MG,Minas Gerais,Sudeste,22646,1138.88,429639.41,18971.98
Pinheiro da Serra do Cerrado,PI,Piauí,Nordeste,6304,942.81,72024.7,11425.24
Novo Grande Maior,MS,Mato Grosso do Sul,Centro-Oeste,101765,2328.33,3299169.02,32419.49
Monte Aurora do Oeste,PB,Paraíba,Nordeste,34816,624.86,266714.23,7660.68
Monte das Flores da Mata,PR,Paraná,Sul,130287,1047.65,1938195.75,14876.36
Pinheiro Aurora do Leste,RS,Rio Grande do Sul,Sul,40594,1431.92,828346.03,20405.63
Serra da Serra de Minas,MT,Mato Grosso,Centro-Oeste,22059,1733.97,727440.92,32977.06
Campo Bonita das Palmeiras,PR,Paraná,Sul,4274,1626.2,107643.1,25185.56
Lagoa Novo,RN,Rio Grande do Norte,Nordeste,7204,647.95,63789.41,8854.72
Palmeira Bonita do Cerrado,PR,Paraná,Sul,50957,1324.62,907985.34,17818.66
Boa Alegre Central,SP,São Paulo,Sudeste,16736,1114.65,207896.66,12422.12
Nova dos Campos do Campo,PR,Paraná,Sul,8293,1933.74,228907.83,27602.54
São União Colonial,PI,Piauí,Nordeste,50626,1104.05,686408.23,13558.41
Alto Vista Central,PI,Piauí,Nordeste,30037,714.76,319361.33,10632.26
Boa Belo das Palmeiras,AP,Amapá,Norte,6873,951.58,116213.51,16908.7
Novo Bonito do Oeste,MG,Minas Gerais,Sudeste,12952,2345.82,566177.4,43713.51
São Verde do Cerrado,PR,Paraná,Sul,82421,1817.81,2821634.5,34234.41
Rio Grande das Palmeiras,MG,Minas Gerais,Sudeste,20183,1821.2,660302.95,32715.8
Lagoa da Serra do Leste,GO,Goiás,Centro-Oeste,14237,2229.82,514286.31,36123.22
Ribeirão do Norte Central,SE,Sergipe,Nordeste,56910,570.82,372673.82,6548.48
Vale Redonda Paulista,PB,Paraíba,Nordeste,27160,886.46,383060.31,14103.84
Nova Alegre,PI,Piauí,Nordeste,11095,1032.38,142390.24,12833.73
Rio Feliz do Leste,AM,Amazonas,Norte,6908,969.47,80266.53,11619.36
Boa dos Campos do Campo,GO,Goiás,Centro-Oeste,12807,2211.77,326790.21,25516.53
Jaboti Formosa Menor,RS,Rio Grande do Sul,Sul,6207,1449.53,110081.83,17735.11
Bela das Flores do Oeste,PE,Pernambuco,Nordeste,206185,694.13,2174520.64,10546.45
Nova Azul Paulista,RS,Rio Grande do Sul,Sul,52876,1058.34,1001915.4,18948.4
Alto do Norte Colonial,BA,Bahia,Nordeste,35143,758.56,447217.31,12725.64
Novo Alegre de Minas,RN,Rio Grande do Norte,Nordeste,18286,1222.9,302465.12,16540.8
Aracê Bonita Central,MS,Mato Grosso do Sul,Centro-Oeste,2531,1039.08,50402.85,19914.2
Coração Esperança da Mata,MG,Minas Gerais,Sudeste,51926,2423.8,1747076.67,33645.51
Palmeira do Sul Paulista,RO,Rondônia,Norte,9096,1270.56,217858.99,23951.08
Jaboti Preto do Campo,SP,São Paulo,Sudeste,8153,2069.71,196070.49,24048.88
São União do Oeste,SE,Sergipe,Nordeste,7738,1287.13,117829.09,15227.33
Santo do Norte,PB,Paraíba,Nordeste,5755,944.24,79174.5,13757.52
Nova do Vale da Mata,SC,Santa Catarina,Sul,98932,1122.64,1604666.47,16219.89
São do Norte,SP,São Paulo,Sudeste,15729,1021.79,195361.97,12420.5
Novo das Flores da Mata,MT,Mato Grosso,Centro-Oeste,37343,1129.43,456632.98,12228.07
Coração Preto,CE,Ceará,Nordeste,13754,1319.06,329818.84,23979.85
Alto Vitória,MG,Minas Gerais,Sudeste,10943,2207.69,439272.8,40141.9
Vila União do Cerrado,RN,Rio Grande do Norte,Nordeste,2998,1149.4,64536.75,21526.6
Vila do Sul do Cerrado,GO,Goiás,Centro-Oeste,15970,1437.29,433485.15,27143.72
Vila do Vale,PB,Paraíba,Nordeste,9459,1291.0,165508.5,17497.46
Vila União Menor,SC,Santa Catarina,Sul,18449,1306.71,295931.06,16040.49
Alto do Sul das Palmeiras,RS,Rio Grande do Sul,Sul,8638,1222.25,181593.88,21022.68
Campo Vista,SP,São Paulo,Sudeste,51273,1281.67,929681.72,18131.99
Porto Vista,CE,Ceará,Nordeste,10040,725.58,101884.59,10147.87
Santo União do Campo,MG,Minas Gerais,Sudeste,1782,2019.32,42068.67,23607.56
Vila Redonda da Mata,MS,Mato Grosso do Sul,Centro-Oeste,16176,1944.13,516281.06,31916.48
Jaboti Verde da Mata,PB,Paraíba,Nordeste,19787,783.74,243799.3,12321.19
Nova do Vale do Oeste,PA,Pará,Norte,43701,1337.12,858820.9,19652.2
Lagoa Horizonte Maior,PR,Paraná,Sul,1617,2208.95,54567.37,33746.05
Campo Formosa das Palmeiras,GO,Goiás,Centro-Oeste,11451,2050.34,311758.34,27225.42
Lagoa do Vale Maior,RJ,Rio de Janeiro,Sudeste,2130,1851.65,71514.79,33575.02
Ipê Azul Colonial,RN,Rio Grande do Norte,Nordeste,1382,825.4,16307.35,11799.82
Nova Claro da Mata,RN,Rio Grande do Norte,Nordeste,12395,1317.26,269507.75,21743.26
Lagoa Novo Paulista,PI,Piauí,Nordeste,22701,1201.98,386392.9,17020.96
Vila Bonita,RO,Rondônia,Norte,11391,893.89,188431.24,16542.12
Nova Horizonte do Leste,PR,Paraná,Sul,140229,1400.61,2847400.21,20305.36
Serra Verde do Cerrado,MS,Mato Grosso do Sul,Centro-Oeste,5075,2041.69,158727.24,31276.3
Alto Bonito Maior,MG,Minas Gerais,Sudeste,6053,998.22,101639.25,16791.55
Palmeira Vista,MT,Mato Grosso,Centro-Oeste,34594,1555.09,669796.05,19361.62
Campo Redonda,SP,São Paulo,Sudeste,3190,2030.56,116738.37,36595.1
Aracê Grande do Cerrado,AM,Amazonas,Norte,9392,641.77,93390.45,9943.62
Cachoeira Dourado do Campo,BA,Bahia,Nordeste,22310,630.9,192644.05,8634.87
Santo Verde da Mata,MG,Minas Gerais,Sudeste,17536,1380.29,326096.11,18595.81
Lagoa do Sul Maior,SP,São Paulo,Sudeste,33081,1977.91,1141338.82,34501.34
Barra Azul,PR,Paraná,Sul,36105,2340.23,1385521.62,38374.79
Vale Alegre,SC,Santa Catarina,Sul,3939,1689.91,104532.9,26537.93
Cachoeira Alegre Menor,MG,Minas Gerais,Sudeste,3567,1789.49,105642.32,29616.57
Porto Redonda das Palmeiras,MS,Mato Grosso do Sul,Centro-Oeste,8122,1153.01,134738.54,16589.33
Alto Grande da Mata,TO,Tocantins,Norte,71271,979.0,1064501.81,14935.97
Bela Alegre do Cerrado,RS,Rio Grande do Sul,Sul,13237,1495.58,292261.81,22079.16
Vale Vitória Central,PR,Paraná,Sul,18138,1745.63,387782.18,21379.54
Boa Horizonte,PE,Pernambuco,Nordeste,58680,825.15,659280.91,11235.19
Campo Feliz Central,SP,São Paulo,Sudeste,57137,1500.12,929571.73,16269.17
Porto das Flores,PR,Paraná,Sul,21660,1163.21,415540.34,19184.69
Monte Alegre Maior,MG,Minas Gerais,Sudeste,9346,2113.61,363603.23,38904.69
Vale das Flores da Mata,MG,Minas Gerais,Sudeste,9022,1458.62,153117.33,16971.55
Campo Horizonte,SC,Santa Catarina,Sul,4298,1451.28,84570.76,19676.77
Aracê União,RS,Rio Grande do Sul,Sul,3565,1722.94,112947.43,31682.31
Monte Dourado do Campo,SP,São Paulo,Sudeste,42709,1870.68,1425307.45,33372.53
Alto do Norte das Palmeiras,MG,Minas Gerais,Sudeste,19910,2476.92,643111.29,32300.92
Bela Esperança do Campo,CE,Ceará,Nordeste,3863,947.81,65261.91,16894.1
Vale Real,BA,Bahia,Nordeste,6845,1131.41,115612.5,16890.07
Coração Real do Leste,CE,Ceará,Nordeste,3643,1051.44,71543.1,19638.51
Novo União de Minas,MG,Minas Gerais,Sudeste,5295,1745.48,149967.62,28322.5
Barra Novo da Mata,PE,Pernambuco,Nordeste,49201,546.79,314339.65,6388.89
Boa Verde da Mata,PB,Paraíba,Nordeste,53096,843.45,820828.79,15459.33
Cruz União Paulista,GO,Goiás,Centro-Oeste,17969,2109.01,492771.82,27423.44
Bela da Serra das Palmeiras,BA,Bahia,Nordeste,15903,1122.28,217069.37,13649.59
Ipê Formosa Paulista,PB,Paraíba,Nordeste,20135,916.89,235549.44,11698.51
Barra Horizonte do Cerrado,TO,Tocantins,Norte,5891,1406.27,102916.43,17470.11
Novo Vista Menor,GO,Goiás,Centro-Oeste,13176,2314.55,349762.76,26545.44
Bela Verde Paulista,SC,Santa Catarina,Sul,5087,1205.73,102672.35,20183.28
Barra dos Campos Paulista,RS,Rio Grande do Sul,Sul,10115,1496.6,268224.63,26517.51
