cnpj;razao_social;cod_scp;dt_ini;dt_fin;forma_trib;forma_apur;qualif_pj;sit_especial;cnae;cod_nat;horario_eleitoral_deducao_lalur;prouni_universidade_para_todos;sudam_sudene_isencao_proj_ind_agric;sudam_sudene_isencao_proj_tec_dig;sudam_sudene_red_escal_setor_prior_proj_ind_agric;finor;finam;pronac_deducao_ir;pat_deducao_ir;atividade_audiov_deducao_ir;fundos_direitos_crianca_adolescente;fundos_idoso;incentivo_desporto;pronon_deducao_ir;pronas_pcd_deducao_ir;empresa_cidada_deducao_ir;rota_2030_deducao_ir;prouni_deducao_csll;rota_2030_deducao_csll;f0000_ano
86.915.691/0001-79;NOSSA SERVICO TEMPORARIO E GESTAO DE PESSOAS LTDA;0;01/01/2020;31/12/2020;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);7830200;2062;0;;;;;;;0;4274,77;0;0;0;0;0;0;0;0;0;0;2020
06.136.920/0001-18;ZURICH SANTANDER BRASIL SEGUROS S.A.;0;01/01/2022;31/12/2022;LUCRO REAL;ANUAL;SOCIEDADES SEGURADORAS, DE CAPITALIZACAO OU ENTIDADE ABERTA DE PREVIDENCIA COMPLEMENTAR;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);6512000;2054;;;;;;;;2090000;0;0;576296,95;576296;528251;0;0;0;;0;0;2022
76.900.463/0001-71;RISOTOLANDIA IND E COM DE ALIMENTOS;0;01/01/2022;31/12/2022;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);5620101;2062;0;;;;;;;0;475200,93;0;0;0;0;0;0;0;0;0;0;2022
20.278.385/0001-60;EMPRESA METROPOLITANA DE TRATAMENTO DE RESIDUOS S/A - EMTR;0;01/01/2016;31/12/2016;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);3821100;2054;0;;;;;;;0;3574,48;0;0;0;0;0;0;0;;0;;2016
00.934.286/0001-82;SNF BRASIL COMERCIAL QUIMICA EIRELI;0;01/01/2020;31/12/2020;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);2029100;2305;0;;;;;;;0;37199,37;0;0;0;0;0;0;0;0;0;0;2020
19.862.904/0001-54;MINEIRA DISTRIBUIDORA DE BEBIDAS LTDA;0;01/01/2020;31/12/2020;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);4635402;2062;0;;;;;;;0;474,16;0;0;0;0;0;0;0;0;0;0;2020
20.593.185/0001-00;NEWPLASTIC INDUSTRIA E COMERCIO DE PLASTICOS LTDA;0;01/01/2020;31/12/2020;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);2229301;2062;0;0;0;0;0;;;4000;0;0;1000;1000;1000;0;0;0;0;0;0;2020
04.067.063/0001-16;AGUAS DE BARRA DO GARCAS LTDA.;0;01/01/2020;31/12/2020;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);3600601;2062;0;;;;;;;33840,72;0;0;0;0;8460,18;0;0;0;0;0;0;2020
19.877.285/0001-71;LANLINK SOLUCOES E COMERCIALIZACAO EM INFORMATICA S/A;0;01/01/2024;31/12/2024;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);6204000;2054;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;2024
85.325.868/0001-14;IBMF INDUSTRIA DE MATERIAIS PARA CONSTRUCAO LTDA;0;01/01/2023;31/12/2023;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);2229303;2062;0;;;;;;;235066,04;0;0;58766,51;58766,51;117533,02;0;0;0;0;0;0;2023
